ACU	ACURA
AUD	AUDI 
BMW	BMW 
BUI	BUICK 
CAD	CADILLAC 
CHE	CHEVROLET 
CHR	CHRYSLER 
DAW	DAEWOO
DOD	DODGE 
EAG	EAGLE 
FOR	FORD 
GEO	GEO
GMC	GMC 
HON	HONDA 
HUM	HUMMER
HYU	HYUNDAI
INF	INFINITI
ISU	ISUZU 
JAG	JAGUAR 
JEE	JEEP 
KIA	KIA 
LAN	LAND ROVER
LEX	LEXUS 
LIN	LINCOLN 
MAS	MASERATI
MAY	MAYBACH
MAZ	MAZDA
MRB	MERCEDES-BENZ 
MEC	MERCURY 
MEK	MERKUR
MIN	MINI
MIT	MITSUBISHI 
NIS	NISSAN 
OLD	OLDSMOBILE 
PLY	PLYMOUTH 
PON	PONTIAC 
POR	PORSCHE 
SAA	SAAB 
SAT	SATURN 
SCI	SCION
SMA	SMART
SUB	SUBARU
SUX	SUZUKI 
SUZ	SUZUKI
TOY	TOYOTA 
VOK	VOLKSWAGEN 
VOV	VOLVO 
ZEN	ZENN
XXX	UNSPECIFIED MAKE
