title	Inclass01	Inclass02	Inclass03	Inclass04	Inclass05	Inclass06	Inclass07	Inclass08	Inclass09	Inclass10
"Income before taxes"	1891.44	7626.89	12377.56	17445.75	24883.97	34946.72	45105.15	59867.64	126036.09	62980.70
"Meals as pay"	0.85	0.21	0.27	0.29	0.36	0.51	0.62	0.78	0.77	0.60
"Rent as pay"	5.82	11.01	9.83	7.27	4.14	3.06	1.00	2.72	2.15	3.71
"Income before taxes"	1884.77	7615.67	12367.46	17438.19	24879.47	34943.15	45103.54	59864.13	126033.18	62976.39
"Income after taxes"	1776.76	7866.68	12573.24	17632.89	25043.92	34750.02	44550.00	58804.13	121092.73	61218.07
"Meals as pay"	0.85	0.21	0.27	0.29	0.36	0.51	0.62	0.78	0.77	0.60
"Rent as pay"	5.82	11.01	9.83	7.27	4.14	3.06	1.00	2.72	2.15	3.71
"Income after taxes"	1770.09	7855.46	12563.14	17625.32	25039.42	34746.45	44548.38	58800.63	121089.81	61213.76
"Age of reference person"	41.74	48.58	53.63	53.86	51.07	49.67	48.62	47.84	47.61	49.03
"Persons"	1.71	1.68	1.78	1.89	2.20	2.28	2.41	2.66	3.06	2.49
"Children under 18"	0.36	0.40	0.45	0.44	0.54	0.58	0.55	0.64	0.81	0.62
"Persons 65 and older"	0.17	0.30	0.41	0.46	0.46	0.40	0.35	0.27	0.21	0.31
"Earners"	0.57	0.45	0.46	0.62	0.81	1.03	1.27	1.55	1.89	1.29
"Vehicles (owned)"	0.98	0.71	0.77	1.02	1.22	1.38	1.59	1.84	2.31	1.65
"Male"	40.62	31.79	32.30	36.40	40.91	43.59	46.76	51.21	51.76	45.67
"Female"	59.38	68.21	67.70	63.60	59.09	56.41	53.24	48.79	48.24	54.33
"Homeowner"	35.98	35.20	40.24	51.82	51.90	58.22	62.65	73.05	86.83	66.21
"With mortgage"	14.99	11.85	9.55	17.07	22.20	27.72	35.24	49.73	68.48	41.38
"Without mortgage"	18.24	17.39	25.78	28.37	23.39	22.79	21.41	17.83	15.33	19.78
"Mortgage not reported"	2.76	5.96	4.91	6.38	6.31	7.72	5.99	5.49	3.01	5.05
"Renter"	64.02	64.80	59.76	48.18	48.10	41.78	37.35	26.95	13.18	33.79
"Black or African-American"	17.14	21.70	18.73	15.34	15.99	12.56	11.62	10.46	7.19	11.90
"White, Asian, and all other races"	82.86	78.30	81.27	84.66	84.01	87.44	88.38	89.54	92.81	88.10
