title	Inclass01	Inclass02	Inclass03	Inclass04	Inclass05	Inclass06	Inclass07	Inclass08	Inclass09	Inclass10
Income before taxes	3077.74	7782.28	12479.86	17310.95	24600.12	34590.74	45364.55	60082.65	130375.58	62755.24
Meals as pay	0.03	1.00	0.26	0.54	0.87	1.18	8.35	0.52	1.12	1.61
Rent as pay	3.33	16.07	2.30	1.22	6.91	2.83	0.68	0.27	1.79	2.83
Income before taxes	3074.37	7765.22	12477.30	17309.19	24592.35	34586.73	45355.52	60081.86	130372.66	62750.81
Income after taxes	3125.80	7976.57	12691.33	17576.13	24773.38	34729.29	45581.01	59101.74	125891.80	61342.80
Meals as pay	0.03	1.00	0.26	0.54	0.87	1.18	8.35	0.52	1.12	1.61
Rent as pay	3.33	16.07	2.30	1.22	6.91	2.83	0.68	0.27	1.79	2.83
Income after taxes	3122.43	7959.51	12688.77	17574.37	24765.61	34725.27	45571.98	59100.95	125888.89	61338.36
Age of reference person	44.14	47.91	54.43	53.85	52.76	49.19	48.81	47.56	47.84	49.40
Persons	1.59	1.72	1.67	1.96	2.16	2.39	2.60	2.70	3.10	2.52
Children under 18	0.28	0.41	0.36	0.48	0.50	0.61	0.69	0.67	0.82	0.63
Persons 65 and older	0.19	0.31	0.43	0.42	0.48	0.39	0.33	0.28	0.21	0.32
Earners	0.47	0.45	0.42	0.60	0.81	1.04	1.27	1.48	1.88	1.24
Vehicles (owned)	0.84	0.80	0.88	1.02	1.28	1.44	1.62	1.77	2.30	1.64
Male	41.63	38.74	31.99	35.55	40.59	45.70	45.68	47.73	53.76	45.80
Female	58.37	61.26	68.01	64.45	59.41	54.30	54.32	52.27	46.24	54.20
Homeowner	37.16	35.66	45.98	48.78	55.70	60.84	64.73	69.61	85.07	65.74
With mortgage	14.66	11.35	12.61	16.49	22.72	26.11	35.92	45.64	67.30	39.65
Without mortgage	17.23	19.65	27.47	25.57	25.13	26.13	23.01	17.21	15.19	20.54
Mortgage not reported	5.26	4.66	5.90	6.72	7.85	8.61	5.80	6.77	2.59	5.55
Renter	62.84	64.34	54.02	51.22	44.30	39.16	35.27	30.39	14.93	34.26
Black or African-American	17.09	26.00	17.74	16.42	12.53	10.84	13.90	12.63	7.29	12.19
White, Asian, and all other races	82.91	74.00	82.26	83.58	87.47	89.16	86.10	87.37	92.71	87.81
White	77.82	69.44	77.12	78.78	82.77	84.25	80.73	82.43	86.09	82.35
Asian	4.67	2.93	3.40	1.80	2.87	3.42	2.64	3.20	5.24	3.70
All other races	0.41	1.63	1.73	2.99	1.84	1.49	2.74	1.74	1.38	1.75
Hispanic or Latino	12.41	12.03	10.48	16.46	14.16	16.55	11.60	12.41	8.50	11.94
Not Hispanic or Latino	87.59	87.97	89.52	83.54	85.84	83.45	88.40	87.59	91.50	88.06
Elementary (1-8)	5.66	9.38	8.59	7.15	7.17	5.76	3.87	3.23	1.79	4.59
High school (9-12)	34.41	40.62	52.30	47.97	48.58	41.40	38.93	28.71	18.83	34.21
College	58.93	49.80	38.87	44.10	43.84	52.79	56.91	67.85	79.33	60.97
Never attended and other	0.99	0.19	0.23	0.78	0.41	0.05	0.29	0.21	0.05	0.24
At least one vehicle owned	57.95	61.60	64.16	71.07	77.66	82.05	86.07	88.24	94.26	83.05
Food	60.85	56.82	58.50	68.26	74.01	88.96	100.55	112.66	163.32	108.88
Food at home	39.36	41.58	42.96	48.44	53.51	57.79	64.64	70.09	96.88	68.86
Cereals and bakery products	5.55	5.81	5.90	6.80	7.73	8.16	8.57	9.74	13.68	9.65
Cereals and cereal products	1.91	1.99	1.82	2.28	2.63	2.74	2.78	3.24	4.41	3.17
Flour	0.11	0.07	0.12	0.12	0.12	0.12	0.16	0.15	0.21	0.15
Prepared flour mixes	0.12	0.21	0.18	0.18	0.20	0.18	0.26	0.32	0.45	0.29
Ready-to-eat and cooked cereals	0.90	0.90	0.93	1.09	1.40	1.44	1.40	1.53	2.25	1.59
Rice	0.48	0.40	0.24	0.39	0.42	0.48	0.38	0.52	0.59	0.48
Pasta, cornmeal and other cereal products	0.29	0.41	0.35	0.50	0.50	0.53	0.58	0.73	0.91	0.65
Bakery products	3.64	3.82	4.08	4.52	5.10	5.41	5.79	6.50	9.28	6.48
Bread	1.22	1.25	1.30	1.43	1.55	1.67	1.79	1.99	2.56	1.91
White bread	0.55	0.55	0.53	0.64	0.70	0.71	0.75	0.81	0.93	0.77
Bread, other than white	0.67	0.70	0.76	0.79	0.85	0.97	1.04	1.19	1.63	1.15
Cookies and crackers	0.78	1.09	0.93	1.04	1.25	1.37	1.28	1.46	2.36	1.58
Cookies	0.36	0.66	0.50	0.51	0.70	0.81	0.70	0.83	1.32	0.88
Crackers	0.42	0.43	0.43	0.53	0.55	0.56	0.58	0.63	1.04	0.70
Frozen and refrigerated bakery products	0.29	0.24	0.23	0.29	0.40	0.35	0.44	0.47	0.74	0.48
Other bakery products	1.36	1.24	1.63	1.76	1.89	2.02	2.28	2.58	3.61	2.50
Biscuits and rolls	0.51	0.40	0.51	0.53	0.72	0.72	0.88	0.99	1.40	0.94
Cakes and cupcakes	0.39	0.26	0.54	0.59	0.47	0.47	0.57	0.70	1.00	0.68
